mode seconds mbs
skip-append 111 0.00
skip-append 112 0.00
skip-append 113 0.00
skip-append 114 0.00
skip-append 115 0.00
skip-append 116 0.00
skip-append 117 0.00
skip-append 118 0.00
skip-append 119 0.00
skip-append 120 0.00
skip-append 121 0.00
skip-append 122 0.00
skip-append 123 0.00
skip-append 124 0.00
skip-append 125 0.00
skip-append 126 0.00
skip-append 127 0.00
skip-append 128 0.00
skip-append 129 0.00
skip-append 130 0.00
skip-append 131 0.00
skip-append 132 0.00
skip-append 133 0.00
skip-append 134 0.00
skip-append 135 0.00
skip-append 136 0.00
skip-append 137 0.00
skip-append 138 0.00
skip-append 139 0.00
skip-append 140 0.00
skip-append 141 0.00
skip-append 142 0.00
skip-append 143 0.00
skip-append 144 0.00
skip-append 145 0.00
skip-append 146 0.00
skip-append 147 0.00
skip-append 148 0.00
skip-append 149 0.00
skip-append 150 0.00
skip-append 151 0.00
skip-append 152 0.00
skip-append 153 0.00
skip-append 154 0.00
skip-append 155 0.00
skip-append 156 0.00
skip-append 157 0.00
skip-append 158 0.00
skip-append 159 0.00
skip-append 160 0.00
skip-append 161 0.00
skip-append 162 0.00
skip-append 163 0.00
skip-append 164 0.00
skip-append 165 0.00
skip-append 166 0.00
skip-append 167 0.00
skip-append 168 0.00
skip-append 169 0.00
skip-append 170 0.00
skip-append 171 0.00
skip-append 172 0.00
skip-append 173 0.00
skip-append 174 0.00
skip-append 175 0.00
skip-append 176 0.00
skip-append 177 0.00
skip-append 178 0.00
skip-append 179 0.00
skip-append 180 0.00
skip-append 181 0.00
skip-append 182 0.00
skip-append 183 0.00
skip-append 184 0.00
skip-append 185 0.00
skip-append 186 0.00
skip-append 187 0.00
skip-append 188 0.00
skip-append 189 0.00
skip-append 190 0.00
skip-append 191 0.00
skip-append 192 0.00
skip-append 193 0.00
skip-append 194 0.00
skip-append 195 0.00
skip-append 196 0.00
skip-append 197 0.00
skip-append 198 0.00
skip-append 199 0.00
skip-append 200 0.00
skip-replay 1 0.07
skip-replay 2 397.48
skip-replay 3 402.28
skip-replay 4 397.95
skip-replay 5 392.36
skip-replay 6 22.98
skip-replay 7 0.00
skip-replay 8 0.00
skip-replay 9 0.00
skip-replay 10 0.00
skip-replay 11 0.00
skip-replay 12 0.00
skip-replay 13 0.00
skip-replay 14 0.00
skip-replay 15 0.00
skip-replay 16 0.00
skip-replay 17 0.00
skip-replay 18 0.00
skip-replay 19 0.00
skip-replay 20 0.00
skip-replay 21 0.00
skip-replay 22 0.00
skip-replay 23 0.00
skip-replay 24 0.00
skip-replay 25 0.00
skip-replay 26 0.00
skip-replay 27 0.00
skip-replay 28 0.00
skip-replay 29 0.00
skip-replay 30 0.00
skip-replay 31 0.00
skip-replay 32 0.00
skip-replay 33 0.00
skip-replay 34 0.00
skip-replay 35 0.00
skip-replay 36 0.00
skip-replay 37 0.00
skip-replay 38 0.00
skip-replay 39 0.00
skip-replay 40 0.00
skip-replay 41 0.00
skip-replay 42 0.00
skip-replay 43 0.00
skip-replay 44 0.00
skip-replay 45 0.00
skip-replay 46 0.00
skip-replay 47 0.00
skip-replay 48 0.00
skip-replay 49 0.00
skip-replay 50 0.00
skip-replay 51 0.00
skip-replay 52 0.00
skip-replay 53 0.00
skip-replay 54 0.00
skip-replay 55 0.00
skip-replay 56 0.00
skip-replay 57 0.00
skip-replay 58 0.00
skip-replay 59 0.00
skip-replay 60 0.00
skip-replay 61 0.00
skip-replay 62 0.00
skip-replay 63 0.00
skip-replay 64 0.00
skip-replay 65 0.00
skip-replay 66 0.00
skip-replay 67 0.00
skip-replay 68 0.00
skip-replay 69 0.00
skip-replay 70 0.00
skip-replay 71 0.00
skip-replay 72 0.00
skip-replay 73 0.00
skip-replay 74 0.00
skip-replay 75 0.00
skip-replay 76 0.00
skip-replay 77 0.00
skip-replay 78 0.00
skip-replay 79 0.00
skip-replay 80 0.00
skip-replay 81 0.00
skip-replay 82 0.00
skip-replay 83 0.00
skip-replay 84 0.00
skip-replay 85 0.00
skip-replay 86 0.00
skip-replay 87 0.00
skip-replay 88 0.00
skip-replay 89 0.00
skip-replay 90 0.00
skip-replay 91 0.00
skip-replay 92 0.00
skip-replay 93 0.00
skip-replay 94 0.00
skip-replay 95 0.00
skip-replay 96 0.00
skip-replay 97 0.00
skip-replay 98 0.00
skip-replay 99 0.00
skip-replay 100 0.00
skip-replay 101 0.00
skip-replay 102 0.00
skip-replay 103 0.00
skip-replay 104 0.00
skip-replay 105 0.00
skip-replay 106 0.00
skip-replay 107 0.00
skip-replay 108 0.00
skip-replay 109 0.00
skip-replay 110 0.00
skip-replay 111 0.00
skip-replay 112 0.00
skip-replay 113 0.00
skip-replay 114 0.00
skip-replay 115 0.00
skip-replay 116 0.00
skip-replay 117 0.00
skip-replay 118 0.00
skip-replay 119 0.00
skip-replay 120 0.00
skip-replay 121 0.00
skip-replay 122 0.00
skip-replay 123 0.00
skip-replay 124 0.00
skip-replay 125 0.00
skip-replay 126 0.00
skip-replay 127 0.00
skip-replay 128 0.00
skip-replay 129 0.00
skip-replay 130 0.00
skip-replay 131 0.00
skip-replay 132 0.00
skip-replay 133 0.00
skip-replay 134 0.00
skip-replay 135 0.00
skip-replay 136 0.00
skip-replay 137 0.00
skip-replay 138 0.00
skip-replay 139 0.00
skip-replay 140 0.00
skip-replay 141 0.00
skip-replay 142 0.00
skip-replay 143 0.00
