timestamp,S0-iMC0.MEM_BW_TOTAL,S0-iMC1.MEM_BW_TOTAL,S0-iMC2.MEM_BW_TOTAL
1243.805832462,8.46209716797,7.21185302734,7.28558349609
1243.906430692,8.48229980469,7.22503662109,7.29650878906
1244.007030095,8.48742675781,7.23883056641,7.31158447266
1244.107628784,8.44268798828,7.17370605469,7.26013183594
1244.208238499,8.42730712891,7.17407226562,7.24713134766
1244.308838721,8.35986328125,7.12261962891,7.17785644531
1244.409443425,8.39916992188,7.14984130859,7.20794677734
1244.510041078,8.42456054688,7.16613769531,7.23352050781
1244.610642259,8.39886474609,7.12249755859,7.2138671875
1244.711246209,8.41430664062,7.15112304688,7.2216796875
1244.811844978,8.36236572266,7.07385253906,7.14996337891
1244.912453645,8.40802001953,7.14807128906,7.27020263672
1245.013050722,8.41760253906,7.16876220703,7.23388671875
1245.113651560,8.37408447266,7.10754394531,7.21215820312
1245.214248889,8.294921875,7.02899169922,7.13464355469
1245.314848616,8.29840087891,7.01446533203,7.10559082031
1245.415453656,8.35516357422,7.09057617188,7.17926025391
1245.516074550,8.34576416016,7.05084228516,7.13385009766
1245.616670268,8.33447265625,7.0546875,7.14990234375
1245.717272905,8.34777832031,7.08715820312,7.17169189453
1245.817872782,8.35809326172,7.07806396484,7.15270996094
1245.918473911,8.31976318359,7.046875,7.16595458984
1246.019083712,8.34515380859,7.06396484375,7.1484375
1246.119682958,8.30212402344,7.01318359375,7.13537597656
1246.220300597,8.28723144531,6.99127197266,7.08740234375
1246.320894198,8.32763671875,7.04071044922,7.11798095703
1246.421492507,8.26483154297,6.99371337891,7.10296630859
1246.522121706,8.22821044922,6.94177246094,7.02471923828
1246.622722201,8.2568359375,6.97021484375,7.06335449219
1246.723320009,8.32531738281,7.03912353516,7.12103271484
1246.823887803,8.31762695312,7.02734375,7.09851074219
1246.924491365,8.31384277344,7.01934814453,7.13537597656
1247.025095962,8.25329589844,6.96405029297,7.04260253906
1247.125695290,8.27587890625,6.99053955078,7.08740234375
1247.226296696,8.32244873047,7.04064941406,7.24652099609
1247.326892500,8.24725341797,6.94305419922,7.04083251953
1247.427495082,8.2197265625,6.92041015625,7.02221679688
1247.528100062,8.27447509766,6.99652099609,7.08331298828
1247.628701958,8.240234375,6.96313476562,7.07653808594
1247.729308620,8.23956298828,6.9677734375,7.04541015625
1247.829909120,8.20770263672,6.91101074219,7.02325439453
