time elapsed,timestamp,S0.iMC0.MEM_BW_TOTAL,S0.iMC1.MEM_BW_TOTAL,S0.iMC2.MEM_BW_TOTAL,totalmembw
370,37.22260195,0.001266778,1.60E-05,0.000126541,0.014093518
371,37.32310919,0.001269639,1.63E-05,0.000142336,0.014282465
372,37.42361521,0.001270115,1.62E-05,0.000115693,0.014020205
373,37.52419365,0.001269817,1.59E-05,0.000110149,0.013958216
374,37.6247766,0.00023365,2.62E-05,0.000169992,0.004298687
375,37.72537791,0.0006724,1.99E-05,0.000143647,0.008359551
376,37.82584649,3.90E-05,5.13E-06,0.000126243,0.001703501
377,37.92633983,0.001268327,2.02E-05,0.000127673,0.014162064
378,38.02681415,0.001267612,1.96E-05,0.000126421,0.014136434
379,38.12731082,0.001267791,1.87E-05,0.00014919,0.014356971
380,38.22782443,0.001266539,1.88E-05,0.000121713,0.014070868
381,38.3283309,0.001268327,1.87E-05,0.000145495,0.014324784
382,38.42883643,0.001270592,1.98E-05,0.000129461,0.014198422
383,38.52935191,0.001267374,1.66E-05,0.000118375,0.014023185
384,38.62993839,0.001268089,1.70E-05,0.000145078,0.014302135
385,38.7305754,0.000775337,9.42E-06,0.000120401,0.009051561
386,38.83105355,5.48E-05,7.69E-06,0.000140131,0.002025962
387,38.93152648,0.001272798,2.09E-05,0.000136256,0.01429975
388,39.03199707,0.001269102,1.64E-05,0.000131667,0.0141716
389,39.13247308,0.00126195,2.35E-05,0.000136673,0.014221072
390,39.23299574,0.001269102,1.60E-05,0.000114202,0.013992786
391,39.33350056,0.001270831,1.69E-05,0.000142217,0.01429975
392,39.43400729,0.001268804,1.69E-05,0.000115156,0.01400888
393,39.53454528,0.001266778,1.81E-05,0.000137985,0.014228225
394,39.63511902,0.00126791,1.80E-05,0.000123382,0.014092922
395,39.73569426,0.000513196,8.05E-06,0.000113368,0.006346107
396,39.83620245,7.67E-05,2.57E-05,0.000171006,0.002733469
397,39.93670971,0.001267314,1.57E-05,0.000127196,0.014101863
398,40.03721432,0.001267254,1.65E-05,0.000143766,0.014275312
399,40.13773215,0.001267433,2.34E-05,0.000117838,0.014086962
400,40.23826061,0.001266956,1.62E-05,0.00012213,0.014052391
401,40.33876207,0.001268089,1.60E-05,0.000151396,0.014354587
402,40.43927304,0.001267016,1.63E-05,0.00012356,0.014068484
403,40.53978227,0.001268029,1.62E-05,0.000145376,0.014296174
404,40.64030628,0.001270354,1.58E-05,0.000120699,0.014068484
405,40.74081918,0.001269102,1.62E-05,0.000118434,0.01403749
406,40.84133038,0.001268625,1.63E-05,0.000142097,0.014270544
407,40.94183545,0.00126797,1.84E-05,0.000111163,0.013974905
408,41.04236767,0.001266658,1.81E-05,0.000146329,0.014310479
409,41.14288253,0.001266539,1.90E-05,0.000119805,0.014053583
410,41.24344654,0.00126785,1.66E-05,0.000123382,0.014078617
411,41.34396075,0.001055181,1.59E-05,0.000137746,0.012087822
412,41.44447599,0.001267254,1.78E-05,0.000120997,0.01406014
413,41.54497661,0.001267195,1.82E-05,0.000138521,0.014238954
414,41.6455014,0.001268089,1.57E-05,0.000123739,0.014075637
415,41.74600809,0.001266479,1.56E-05,0.000109196,0.013912916
416,41.84658106,0.001267314,1.62E-05,0.000137985,0.014215112
417,41.94709897,0.00126946,1.59E-05,0.00012064,0.01406014
418,42.04760467,0.001269698,1.60E-05,0.000139713,0.014253855
419,42.14815921,0.001269639,2.88E-05,0.000120938,0.01419425
420,42.24867536,0.001267076,1.62E-05,0.000116646,0.013999343
421,42.34917674,0.001269102,1.58E-05,0.000141799,0.014266968
